iter	Passed	Remaining
731	3827	1401
732	3828	1394
733	3829	1387
734	3830	1381
735	3832	1374
736	3833	1367
737	3840	1363
738	3842	1356
739	3843	1350
740	3844	1343
741	3845	1337
742	3847	1330
743	3848	1324
744	3855	1319
745	3856	1313
746	3857	1306
747	3859	1300
748	3860	1293
749	3862	1287
750	3863	1281
751	3870	1276
752	3871	1269
753	3873	1263
754	3874	1257
755	3875	1250
756	3876	1244
757	3877	1238
758	3879	1231
759	3883	1226
760	3885	1220
761	3886	1214
762	3888	1207
763	3889	1201
764	3891	1195
765	3892	1188
766	3893	1182
767	3894	1176
768	3901	1171
769	3902	1165
770	3903	1159
771	3904	1153
772	3906	1147
773	3907	1140
774	3908	1134
775	3910	1128
776	3916	1123
777	3917	1117
778	3918	1111
779	3919	1105
780	3921	1099
781	3923	1093
782	3924	1087
783	3931	1083
784	3932	1077
785	3934	1071
786	3935	1065
787	3936	1059
788	3937	1053
789	3939	1047
790	3940	1041
791	3944	1035
792	3946	1030
793	3947	1024
794	3949	1018
795	3950	1012
796	3951	1006
797	3952	1000
798	3954	994
799	3955	988
800	3963	984
801	3964	978
802	3965	972
803	3966	967
804	3967	961
805	3969	955
806	3970	949
807	3971	943
808	3976	938
809	3977	933
810	3979	927
811	3980	921
812	3981	915
813	3982	910
814	3983	904
815	3984	898
816	3986	892
817	3987	887
818	3989	881
819	3990	875
820	3991	870
821	3993	864
822	3994	859
823	3995	853
824	3996	847
825	3997	842
826	3998	836
827	3999	830
828	4004	826
829	4006	820
830	4007	814
831	4008	809
832	4009	803
833	4010	798
834	4011	792
835	4012	787
836	4014	781
837	4015	776
838	4020	771
839	4021	766
840	4022	760
841	4024	755
842	4025	749
843	4026	744
844	4027	738
845	4028	733
846	4029	727
847	4030	722
848	4036	717
849	4037	712
850	4039	707
851	4040	701
852	4041	696
853	4042	691
854	4043	685
855	4044	680
856	4046	675
857	4053	670
858	4055	665
859	4057	660
860	4058	655
861	4059	649
862	4060	644
863	4063	639
864	4064	634
865	4066	629
866	4067	623
867	4068	618
868	4070	613
869	4071	608
870	4072	603
871	4073	597
872	4082	593
873	4083	588
874	4085	583
875	4086	578
876	4088	573
877	4090	568
878	4095	563
879	4099	558
880	4102	554
881	4115	550
882	4118	545
883	4125	541
884	4132	537
885	4135	532
886	4151	528
887	4161	524
888	4162	519
889	4164	514
890	4165	509
891	4167	504
892	4173	500
893	4175	495
894	4188	491
895	4190	486
896	4191	481
897	4192	476
898	4194	471
899	4207	467
900	4209	462
901	4227	459
902	4253	456
903	4256	452
904	4259	447
905	4284	444
906	4287	439
907	4302	435
908	4309	431
909	4324	427
910	4333	423
911	4339	418
912	4341	413
913	4356	409
914	4358	404
915	4363	400
916	4366	395
917	4367	390
918	4369	385
919	4382	381
920	4383	375
921	4384	370
922	4395	366
923	4397	361
924	4399	356
925	4413	352
926	4415	347
927	4426	343
928	4429	338
929	4431	333
930	4433	328
931	4444	324
932	4446	319
933	4448	314
934	4449	309
935	4452	304
936	4453	299
937	4455	294
938	4464	290
939	4467	285
940	4471	280
941	4480	275
942	4481	270
943	4483	265
944	4485	261
945	4486	256
946	4496	251
947	4499	246
948	4500	241
949	4502	236
950	4512	232
951	4514	227
952	4517	222
953	4518	217
954	4522	213
955	4524	208
956	4525	203
957	4537	198
958	4539	194
959	4555	189
960	4557	184
961	4569	180
